agents,healthStatus,solveConicGibbsGreedyDynamic,PPO_5Bucket_20000000,PPO_5Bucket_50000000,PPO_4Bucket_20000000,solveMILP,PPO_4Bucket_50000000,solveConicGibbsGreedyDynamicCount
"[(0, 1, 0.9945802997175588), (1, 2, 0.01268948268830039), (2, 2, 0.4537598426483227), (3, 1, 0.684807172990692), (4, 2, 0.03260110800214544), (5, 3, 0.990542999318761), (6, 1, 0.8098441503400978), (7, 1, 0.5017503780029806), (8, 3, 0.3028404100216173), (9, 2, 0.07618671118371789), (10, 2, 0.8666467883813036), (11, 1, 0.9703937787767356), (12, 3, 0.9667175764475109), (13, 1, 0.13468623266506474), (14, 3, 0.6311266281925136), (15, 1, 0.28222138741770675), (16, 2, 0.7809430633102123), (17, 3, 0.35584567108416365), (18, 3, 0.253196190676618), (19, 2, 0.4786665775808986), (20, 3, 0.5163667213316093), (21, 1, 0.796300142315415), (22, 2, 0.5968561869451274), (23, 3, 0.010537654269850316), (24, 1, 0.426209147984956), (25, 3, 0.3335457040301488), (26, 1, 0.5825365674256507), (27, 1, 0.5993654731390291), (28, 3, 0.12744767678866353), (29, 2, 0.7387072544780285), (30, 3, 0.3043458262534412), (31, 3, 0.40785642438056213), (32, 3, 0.9132266740394406), (33, 2, 0.42344118434969136), (34, 1, 0.09351407011693746), (35, 2, 0.8757732743603792), (36, 2, 0.3006267807259616), (37, 1, 0.35975255927461214), (38, 3, 0.7094064713125287), (39, 3, 0.4792829809195793), (40, 3, 0.93070742921165), (41, 3, 0.21219154553024056), (42, 3, 0.995550020903096), (43, 3, 0.7464560936898471), (44, 1, 0.19064512555531998), (45, 3, 0.47922290593629613), (46, 2, 0.4442019061869745), (47, 2, 0.3956977964806274), (48, 3, 0.006646870514475656), (49, 2, 0.01837613487066614)]","[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0]",34,25,27,25,34,27,34
"[(0, 1, 0.9627980630777115), (1, 2, 0.3693149827698814), (2, 3, 0.16352309347910277), (3, 2, 0.520423962045239), (4, 3, 0.09338371646410171), (5, 3, 0.5993709845722479), (6, 3, 0.8196976307545498), (7, 2, 0.17137255805604135), (8, 1, 0.02147982080957722), (9, 3, 0.18746998718691021), (10, 2, 0.5023445536698177), (11, 2, 0.9766926669723082), (12, 3, 0.5516352959089138), (13, 2, 0.4018551634949906), (14, 2, 0.4535420568325439), (15, 1, 0.773539814840742), (16, 2, 0.4133530342656777), (17, 1, 0.6255732493070827), (18, 1, 0.661624782207449), (19, 1, 0.9412329474853162), (20, 1, 0.4628952343906061), (21, 3, 0.3952764865793573), (22, 1, 0.599843762676515), (23, 1, 0.08620149734264859), (24, 2, 0.7911845726848707), (25, 1, 0.6866332829327452), (26, 1, 0.21653765230690902), (27, 2, 0.8689177309807433), (28, 2, 0.06732603745538801), (29, 3, 0.39826772056556314), (30, 2, 0.5703685614281152), (31, 1, 0.623673663111378), (32, 2, 0.5267785529073414), (33, 3, 0.5128830878364278), (34, 2, 0.34507174438255617), (35, 2, 0.6307760904498108), (36, 3, 0.3223955965569887), (37, 2, 0.5555311004461827), (38, 2, 0.6070609808872328), (39, 2, 0.8407926809053752), (40, 1, 0.9370211748221746), (41, 1, 0.9422944492191963), (42, 3, 0.016083726598596693), (43, 3, 0.6602293664474959), (44, 1, 0.28868458022362753), (45, 2, 0.9225231134728519), (46, 2, 0.8273291243598161), (47, 2, 0.3285197429430794), (48, 2, 0.572913430419023), (49, 2, 0.613391949806639)]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1]",19,18,18,14,22,14,19
"[(0, 1, 0.20870368212092572), (1, 2, 0.4030354063716364), (2, 1, 0.04290438937211838), (3, 1, 0.04196797438567024), (4, 1, 0.5011731815095709), (5, 1, 0.5947958365788902), (6, 1, 0.04052281340275221), (7, 2, 0.5075741900765042), (8, 2, 0.08104794266765625), (9, 1, 0.26735238408153505), (10, 2, 0.8487980391401421), (11, 3, 0.928332698814533), (12, 1, 0.7639404901726422), (13, 2, 0.6868289673485046), (14, 1, 0.3816785047072546), (15, 1, 0.7139020622974986), (16, 2, 0.8186921138681207), (17, 1, 0.1470229603580342), (18, 1, 0.20049650449494827), (19, 1, 0.4840596552614419), (20, 3, 0.08075111633119936), (21, 2, 0.40656173222978154), (22, 3, 0.47423906912563796), (23, 3, 0.8752873435319347), (24, 1, 0.7525125802243733), (25, 1, 0.12611544256014773), (26, 2, 0.8884000232510235), (27, 1, 0.7551349508765323), (28, 1, 0.9935627131341136), (29, 2, 0.8311181934172364), (30, 3, 0.6895899099286528), (31, 3, 0.9905578646423608), (32, 2, 0.24688013671808795), (33, 1, 0.5692629215504482), (34, 3, 0.9986411573479155), (35, 1, 0.16561833528041514), (36, 3, 0.6369843754324631), (37, 1, 0.20581253402451594), (38, 2, 0.607143572213702), (39, 3, 0.14406683144804), (40, 3, 0.49413236205723354), (41, 1, 0.0057729756449658165), (42, 1, 0.5492045678290977), (43, 3, 0.08752713661558353), (44, 2, 0.10137873104706363), (45, 2, 0.21517394470762086), (46, 2, 0.9681059995809903), (47, 2, 0.03770721644246855), (48, 3, 0.13543586256087092), (49, 2, 0.7038995278798279)]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",27,23,23,20,26,21,21
"[(0, 2, 0.06803597096944436), (1, 1, 0.9697486736076899), (2, 1, 0.2409111670865619), (3, 3, 0.7944781200236414), (4, 2, 0.7224291526734592), (5, 1, 0.30175471945683763), (6, 3, 0.7683057446425132), (7, 1, 0.3949949100868163), (8, 3, 0.6513938192487271), (9, 2, 0.1682703967071445), (10, 3, 0.9624856100040332), (11, 1, 0.3920485171669892), (12, 2, 0.882440928045459), (13, 1, 0.34414880845086304), (14, 1, 0.17344310422419396), (15, 2, 0.9337649119657229), (16, 1, 0.2607742713574107), (17, 2, 0.0635694744954397), (18, 1, 0.2693091666266221), (19, 3, 0.719982654311521), (20, 3, 0.4233982873622357), (21, 2, 0.06795854316621464), (22, 2, 0.40989144051551907), (23, 3, 0.7344411622947283), (24, 1, 0.6402662226904386), (25, 2, 0.3252787756481512), (26, 3, 0.35952690586509617), (27, 1, 0.3941560237749928), (28, 1, 0.6991714130354745), (29, 3, 0.2650925716936966), (30, 2, 0.7224250335954739), (31, 3, 0.3494961251640273), (32, 2, 0.68079953647511), (33, 3, 0.9188482847543421), (34, 2, 0.5479742759927615), (35, 2, 0.0413861973559525), (36, 2, 0.14651961063564845), (37, 3, 0.511178490342239), (38, 2, 0.38368104447961693), (39, 2, 0.9263487487808056), (40, 2, 0.9552353765774356), (41, 1, 0.4308355388609971), (42, 3, 0.6043414783396863), (43, 1, 0.43856925553394344), (44, 2, 0.08018790945786514), (45, 1, 0.6038673054646748), (46, 1, 0.43829174461931064), (47, 2, 0.02583299250955573), (48, 1, 0.04530502542921189), (49, 2, 0.5619962970875773)]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1]",21,16,15,21,21,17,15
"[(0, 2, 0.3012647014071319), (1, 3, 0.581674324489974), (2, 2, 0.6913932414168874), (3, 2, 0.5973846176223718), (4, 1, 0.6520638625526637), (5, 1, 0.8848489615727382), (6, 3, 0.23504375553398293), (7, 1, 0.9748035445322798), (8, 3, 0.8377838009383272), (9, 3, 0.9934546717207022), (10, 3, 0.9798223066231425), (11, 1, 0.44144759178271764), (12, 3, 0.7818495529426949), (13, 2, 0.5818638421704952), (14, 3, 0.19804892179783806), (15, 1, 0.4430236904457001), (16, 2, 0.4377109106394934), (17, 2, 0.5246651011096791), (18, 1, 0.34380523567955934), (19, 1, 0.709146204111236), (20, 3, 0.49728329633153334), (21, 2, 0.8778034073281193), (22, 3, 0.30561640565616777), (23, 2, 0.6456436008396728), (24, 1, 0.998933346441693), (25, 3, 0.7560451560046398), (26, 3, 0.46319702376125194), (27, 3, 0.6932598106638553), (28, 2, 0.0602831476153064), (29, 1, 0.5903667489121746), (30, 3, 0.7989710175553443), (31, 1, 0.10753076010605866), (32, 1, 0.6853059327992669), (33, 2, 0.09737065737010397), (34, 3, 0.2798594049024006), (35, 2, 0.17534464760071666), (36, 1, 0.814939911023312), (37, 2, 0.9907897840582061), (38, 2, 0.7197380415754611), (39, 1, 0.6897611460550389), (40, 3, 0.7517633493824771), (41, 3, 0.43746743043474934), (42, 1, 0.9725249423115908), (43, 2, 0.6019715954802971), (44, 3, 0.6602250296279589), (45, 2, 0.9376731567353359), (46, 1, 0.3493891081388556), (47, 1, 0.8357308290515029), (48, 2, 0.3304270039730256), (49, 3, 0.25801120481506723)]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1]",27,21,16,16,22,16,8
"[(0, 2, 0.27518432406473126), (1, 3, 0.6882904808730141), (2, 1, 0.11062207861608842), (3, 1, 0.9543333011794327), (4, 2, 0.13706624961923985), (5, 3, 0.8620533871919845), (6, 3, 0.2982058752004785), (7, 2, 0.8525466576442701), (8, 1, 0.8137414058823296), (9, 2, 0.9964313619378342), (10, 2, 0.6942650817113792), (11, 2, 0.2521890973872618), (12, 2, 0.3448326077905486), (13, 1, 0.6089289858696947), (14, 3, 0.7078464603018811), (15, 2, 0.264734152893334), (16, 2, 0.10418089469744751), (17, 1, 0.8132932392186998), (18, 1, 0.6566353284100583), (19, 1, 0.24855015948202053), (20, 2, 0.15112071903091728), (21, 3, 0.9849230219344337), (22, 2, 0.8488639084040701), (23, 3, 0.5687102131362471), (24, 3, 0.7498091893507622), (25, 2, 0.7943712545483975), (26, 2, 0.092208589184536), (27, 2, 0.889336856190268), (28, 2, 0.9938447067416433), (29, 3, 0.21048033362070018), (30, 1, 0.5819316466720793), (31, 2, 0.5415586572673836), (32, 2, 0.06419609904329537), (33, 3, 0.5070547801909494), (34, 3, 0.9626634003064026), (35, 2, 0.9013183725346606), (36, 1, 0.2855104780045221), (37, 1, 0.027234071397038262), (38, 2, 0.6518185141608028), (39, 1, 0.27211600797911795), (40, 2, 0.5142950225154523), (41, 2, 0.7617703635803771), (42, 3, 0.11203408275633464), (43, 2, 0.33434917588898216), (44, 3, 0.7423300127556812), (45, 3, 0.14817197536227578), (46, 3, 0.2870731060277485), (47, 3, 0.07728792889091196), (48, 3, 0.8900964421251312), (49, 2, 0.8399305775456631)]","[0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1]",29,24,22,20,29,23,16
"[(0, 3, 0.35673746417236696), (1, 3, 0.43241404275820106), (2, 1, 0.9617744020325338), (3, 1, 0.7442257206431425), (4, 2, 0.4122604562730873), (5, 2, 0.2752129406705476), (6, 2, 0.01294086889155488), (7, 1, 0.13560586903810035), (8, 3, 0.07283678957012163), (9, 1, 0.32619132692208475), (10, 3, 0.24798838048534555), (11, 2, 0.9209275788957534), (12, 3, 0.05100066568099382), (13, 2, 0.09935755523687184), (14, 3, 0.4165764454678079), (15, 1, 0.4669475200080285), (16, 3, 0.823585271948322), (17, 2, 0.13096329269099982), (18, 3, 0.20766744060735787), (19, 3, 0.9568940190954464), (20, 3, 0.9793470923928812), (21, 1, 0.945685967796135), (22, 2, 0.2368503526911685), (23, 1, 0.44232825053653346), (24, 1, 0.30161215146705067), (25, 2, 0.3208315531253183), (26, 3, 0.6338882877881834), (27, 3, 0.3445843123924206), (28, 3, 0.41431171570275005), (29, 2, 0.28537392832935393), (30, 1, 0.7953214063730469), (31, 3, 0.6968841962148332), (32, 3, 0.40508951784952385), (33, 2, 0.3312760544244244), (34, 1, 0.6267137600086031), (35, 1, 0.8937232525550248), (36, 1, 0.5624410992791105), (37, 2, 0.5637569229530561), (38, 1, 0.21326967087183335), (39, 2, 0.19759553021603837), (40, 2, 0.26058334549451456), (41, 3, 0.7430021279055244), (42, 3, 0.9284141529349127), (43, 3, 0.9773289504707543), (44, 2, 0.7207614535051581), (45, 2, 0.5789214520084128), (46, 3, 0.2861654424465653), (47, 1, 0.08478000220225812), (48, 1, 0.8708392260874822), (49, 3, 0.07496330846159927)]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",27,20,20,24,25,20,9
"[(0, 2, 0.9644779476843193), (1, 3, 0.3916350192369522), (2, 1, 0.3755749967759585), (3, 3, 0.05638233134305026), (4, 2, 0.1415165243716341), (5, 2, 0.5525061269823065), (6, 1, 0.007566887082683049), (7, 3, 0.6936328098237052), (8, 1, 0.10707175129502), (9, 1, 0.12027013484954308), (10, 1, 0.8252164360402039), (11, 1, 0.3650699891230207), (12, 1, 0.7500250259011895), (13, 3, 0.3047714743488046), (14, 3, 0.9781588943544992), (15, 2, 0.8565651358886209), (16, 1, 0.5386518824369724), (17, 3, 0.17079177227311915), (18, 3, 0.42777638452829625), (19, 1, 0.8206568325287377), (20, 3, 0.7887672018388417), (21, 2, 0.6620867032204655), (22, 1, 0.4543210247081535), (23, 2, 0.789822162845329), (24, 1, 0.5761309117862017), (25, 1, 0.5096185753292914), (26, 2, 0.10344977289228341), (27, 1, 0.7562291459878882), (28, 3, 0.8883332754115217), (29, 2, 0.6453026406938764), (30, 2, 0.22441887903150914), (31, 2, 0.46932720708156617), (32, 3, 0.008736102326876605), (33, 3, 0.10006154826088043), (34, 1, 0.07872637088762713), (35, 2, 0.19114771044803047), (36, 1, 0.4531055615251953), (37, 1, 0.6687186875096454), (38, 3, 0.64336580857977), (39, 1, 0.5021411300040656), (40, 2, 0.9333293188975398), (41, 3, 0.22074520772410988), (42, 2, 0.09216158370763705), (43, 3, 0.9317448454959707), (44, 1, 0.6605803413154018), (45, 2, 0.4790527522139967), (46, 1, 0.8534107878735117), (47, 2, 0.22195759912231938), (48, 1, 0.9476066025549607), (49, 1, 0.9261753974606696)]","[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1]",18,12,15,16,16,10,7
"[(0, 3, 0.5355639922879133), (1, 2, 0.6558301048276474), (2, 2, 0.23479159559043938), (3, 2, 0.32086622726922287), (4, 2, 0.986171979323104), (5, 3, 0.11465563679784985), (6, 3, 0.44483495607147894), (7, 1, 0.8337646992688736), (8, 3, 0.3524156566115766), (9, 1, 0.06028004931634712), (10, 2, 0.20025051509298497), (11, 1, 0.560349327965654), (12, 1, 0.8765207743829653), (13, 1, 0.642970204369195), (14, 2, 0.9742553565719443), (15, 2, 0.5539162316764924), (16, 2, 0.47887753504121744), (17, 3, 0.6301181944939198), (18, 2, 0.293505024916056), (19, 1, 0.5567472465749544), (20, 1, 0.09464129080995831), (21, 1, 0.1318425397809888), (22, 1, 0.3852279295364581), (23, 3, 0.39429824280504444), (24, 3, 0.606443538729082), (25, 2, 0.33855203148609847), (26, 3, 0.17205141181255068), (27, 2, 0.6621327642520721), (28, 3, 0.6687355547026828), (29, 2, 0.6773001003769229), (30, 3, 0.11496144185272295), (31, 2, 0.8628479237037902), (32, 1, 0.84684130575083), (33, 1, 0.6240456135442888), (34, 2, 0.7827081675757926), (35, 2, 0.9541211297510233), (36, 3, 0.5798968410424562), (37, 2, 0.5825790502021836), (38, 2, 0.7693093969514252), (39, 2, 0.9973823764830004), (40, 3, 0.8908313769079572), (41, 3, 0.31133512813737785), (42, 3, 0.574912047992441), (43, 3, 0.8650541439057001), (44, 1, 0.7281697278316468), (45, 1, 0.025832691763973403), (46, 3, 0.9807007179987499), (47, 2, 0.6107147718697583), (48, 2, 0.30991841371521367), (49, 2, 0.4450845488123737)]","[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]",21,21,23,23,21,26,27
"[(0, 1, 0.33643362451689796), (1, 3, 0.9593007368753479), (2, 1, 0.011250457194102004), (3, 2, 0.9322610036179226), (4, 2, 0.7958345970782648), (5, 1, 0.9673407816294689), (6, 1, 0.8207829026997101), (7, 1, 0.5632441513118356), (8, 3, 0.9124250329365878), (9, 2, 0.7008527939577966), (10, 3, 0.9504317956779357), (11, 2, 0.5719030767347847), (12, 2, 0.2778867940331936), (13, 1, 0.9270596018958167), (14, 1, 0.2735518591828514), (15, 1, 0.3806407206384178), (16, 3, 0.7822613913657012), (17, 3, 0.3861543303427082), (18, 2, 0.9853905184252667), (19, 3, 0.5814567533726279), (20, 3, 0.41684067506421973), (21, 1, 0.8368352492135358), (22, 1, 0.838312365415282), (23, 2, 0.7692232447395349), (24, 3, 0.6332991763285075), (25, 3, 0.024125488096930603), (26, 1, 0.20014451600561334), (27, 1, 0.9618441439600021), (28, 3, 0.6441640751725717), (29, 1, 0.7091094320675565), (30, 3, 0.7854760068715557), (31, 3, 0.06901485302802057), (32, 2, 0.5070178377818068), (33, 1, 0.2434775919057467), (34, 3, 0.302346635271043), (35, 2, 0.9908394946917715), (36, 3, 0.48291348682449875), (37, 2, 0.7896383615239797), (38, 2, 0.3932474119349343), (39, 2, 0.1671470958916168), (40, 1, 0.16177792966919502), (41, 3, 0.9468106326845493), (42, 3, 0.696098860962833), (43, 1, 0.8236638560198186), (44, 2, 0.2509615650139777), (45, 3, 0.8798640802795998), (46, 3, 0.8064081163942063), (47, 2, 0.4105903222492996), (48, 2, 0.4939187353691188), (49, 2, 0.45414065536180614)]","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",14,5,6,11,15,13,8
"[(0, 2, 0.9044584625520108), (1, 2, 0.9960837720118039), (2, 1, 0.40421338454650213), (3, 3, 0.2772696277453097), (4, 3, 0.2782462283550873), (5, 3, 0.45780403654843504), (6, 2, 0.18589692144198355), (7, 3, 0.3854143897406892), (8, 1, 0.6000658176619397), (9, 3, 0.27060797055443486), (10, 2, 0.7940616343241913), (11, 1, 0.06063265292995024), (12, 3, 0.9881133013876238), (13, 2, 0.7617019110540385), (14, 1, 0.20186133072289603), (15, 3, 0.9607403933529841), (16, 3, 0.7479415973826158), (17, 2, 0.8513325621350734), (18, 3, 0.36999256576806805), (19, 1, 0.000773144449546459), (20, 3, 0.5269342319310928), (21, 1, 0.4800922899099007), (22, 3, 0.9655793797224473), (23, 2, 0.07371107540719624), (24, 3, 0.5878300925943185), (25, 3, 0.9822265701408294), (26, 3, 0.7723043677574254), (27, 1, 0.7602660244807002), (28, 1, 0.9734493669176958), (29, 2, 0.6842480950969478), (30, 3, 0.35220126673733054), (31, 1, 0.5337715976850218), (32, 2, 0.2059870375447732), (33, 1, 0.33798754413896426), (34, 3, 0.5020135594133027), (35, 1, 0.06816102973517946), (36, 2, 0.9153329705198231), (37, 2, 0.5472956642153363), (38, 3, 0.9074279430507594), (39, 1, 0.44709679972426875), (40, 3, 0.8146220889412741), (41, 2, 0.12209768929611442), (42, 2, 0.06128336649328725), (43, 2, 0.3139649037225717), (44, 1, 0.33333384042406533), (45, 3, 0.08184584364568792), (46, 3, 0.26884815753624036), (47, 3, 0.04033490531235462), (48, 2, 0.6811996229541007), (49, 3, 0.920972683781076)]","[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",25,21,22,22,31,23,32
"[(0, 1, 0.31920215213140357), (1, 1, 0.7898251237744717), (2, 3, 0.5537271948268941), (3, 2, 0.09935950144998662), (4, 2, 0.7406729002181023), (5, 3, 0.1974039636982341), (6, 2, 0.8670683924742554), (7, 2, 0.40239031044597284), (8, 1, 0.02213682900982472), (9, 2, 0.6250693337624365), (10, 2, 0.6743542001568248), (11, 1, 0.05214473526734842), (12, 1, 0.6694879384626472), (13, 1, 0.48726100288445817), (14, 2, 0.8256777313930157), (15, 1, 0.3942490871169638), (16, 2, 0.1936961076177539), (17, 2, 0.07074364325548477), (18, 1, 0.5344597815984965), (19, 3, 0.2675349484186258), (20, 3, 0.6555815730794635), (21, 2, 0.4676048089777012), (22, 1, 0.5365149203768664), (23, 3, 0.538156006588978), (24, 2, 0.14038707157889097), (25, 3, 0.5818911859838982), (26, 2, 0.6789728782924019), (27, 3, 0.63620938127675), (28, 1, 0.5113327041582323), (29, 3, 0.8715368318757603), (30, 3, 0.6786761629881616), (31, 2, 0.8682504571478036), (32, 1, 0.5316998507755453), (33, 2, 0.5409294323634902), (34, 1, 0.6015445292654182), (35, 2, 0.46031204730198805), (36, 1, 0.5328717254772657), (37, 3, 0.2713953651845671), (38, 3, 0.3519181490077645), (39, 1, 0.4405204155718958), (40, 1, 0.9037602006374272), (41, 2, 0.7130066488894105), (42, 1, 0.964233607562456), (43, 3, 0.2806448863115294), (44, 1, 0.9060458095780523), (45, 1, 0.4293688917471076), (46, 1, 0.19818106486957388), (47, 3, 0.17743118439368233), (48, 2, 0.16421153619109818), (49, 2, 0.1615722262717315)]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0]",7,5,10,13,7,4,7
"[(0, 3, 0.889065245622487), (1, 3, 0.06663689146791807), (2, 1, 0.7580613380036), (3, 3, 0.5611397480728351), (4, 1, 0.19279274179641082), (5, 2, 0.8613281856525297), (6, 3, 0.2596541430169126), (7, 3, 0.7014110465318792), (8, 3, 0.2791139054534465), (9, 2, 0.7478178289500823), (10, 3, 0.031376565403153145), (11, 3, 0.34261368829881256), (12, 3, 0.59930928678917), (13, 2, 0.6523763718291236), (14, 3, 0.7423339998714197), (15, 3, 0.978499865589523), (16, 3, 0.10086054709648329), (17, 1, 0.05384493884206709), (18, 1, 0.8749344906574663), (19, 2, 0.7080868505314055), (20, 2, 0.8516218168915252), (21, 3, 0.8398493759081777), (22, 2, 0.32018806234468056), (23, 1, 0.991852704429824), (24, 3, 0.05694740584958269), (25, 1, 0.5005998258100509), (26, 1, 0.7102167435473812), (27, 1, 0.5929432857850697), (28, 1, 0.3641953123353404), (29, 2, 0.20622779115083978), (30, 1, 0.25031091938346084), (31, 1, 0.972079404547533), (32, 2, 0.9217003776638392), (33, 3, 0.5208461848544702), (34, 3, 0.7904438133612763), (35, 3, 0.3211233400645678), (36, 3, 0.7385263605027407), (37, 2, 0.6046983721823777), (38, 3, 0.7884828933790924), (39, 1, 0.5339136096843544), (40, 3, 0.6296581133403935), (41, 3, 0.8606842190772902), (42, 3, 0.912788809988972), (43, 2, 0.7634203652536918), (44, 1, 0.6919126936194298), (45, 1, 0.16066770144539766), (46, 3, 0.9337899866864579), (47, 2, 0.7269574372390035), (48, 3, 0.612217033596294), (49, 3, 0.7765369783067076)]","[1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0]",16,27,19,22,24,21,16
"[(0, 3, 0.21236828178982814), (1, 1, 0.6475602918573341), (2, 2, 0.9648190928294946), (3, 2, 0.14687654885255108), (4, 2, 0.5709985251442287), (5, 2, 0.3909111628353177), (6, 3, 0.7544316302839705), (7, 3, 0.3035229842743925), (8, 2, 0.8279082379647795), (9, 1, 0.9012252296676779), (10, 1, 0.7526300294703359), (11, 2, 0.9044131591858474), (12, 2, 0.399091344470611), (13, 1, 0.8872983271856305), (14, 1, 0.5219052229307697), (15, 2, 0.9325436015455361), (16, 2, 0.4068715728941873), (17, 2, 0.13614452165028934), (18, 3, 0.022004615478716794), (19, 3, 0.1611274138953619), (20, 3, 0.6770115049883998), (21, 3, 0.9744217154643614), (22, 3, 0.4007233053485538), (23, 1, 0.4507179298410816), (24, 2, 0.5475771085185352), (25, 3, 0.4384466456309192), (26, 3, 0.5129168485787554), (27, 1, 0.8709443064072442), (28, 1, 0.983645861195471), (29, 1, 0.6732596084190411), (30, 3, 0.8110589776802593), (31, 1, 0.2852785019050259), (32, 3, 0.2984812449898222), (33, 3, 0.6445497258702765), (34, 3, 0.7057230545748933), (35, 2, 0.28447221928125743), (36, 2, 0.04621433258958774), (37, 3, 0.2409218679168702), (38, 3, 0.9060809958201735), (39, 2, 0.18004167553460992), (40, 3, 0.8045030638040036), (41, 1, 0.5392345117799476), (42, 2, 0.04226934884730582), (43, 3, 0.30513026061222115), (44, 3, 0.42341263217839187), (45, 3, 0.6894909613561532), (46, 2, 0.41814303171112466), (47, 2, 0.18253166819805844), (48, 1, 0.44167250305789585), (49, 2, 0.714681392998051)]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]",37,27,24,18,35,27,37
