agents,solveMILP,solveSeqRLBucket,solveConicGibbsGreedyDynamic
"[(0, 1, 0.2524351244295353), (1, 1, 0.18353900029663905), (2, 1, 0.7785234763301218), (3, 1, 0.2923041071463711), (4, 1, 0.15839727900937628), (5, 1, 0.311132823634238), (6, 1, 0.5433963442824399), (7, 1, 0.4154960481461766), (8, 1, 0.758179333754274), (9, 1, 0.713213317169059), (10, 1, 0.06965687994180114), (11, 1, 0.04845002872718207), (12, 1, 0.8232232710831682), (13, 1, 0.9050981695475795), (14, 1, 0.4149273645939855), (15, 1, 0.41080819466757346), (16, 1, 0.24586590003638098), (17, 1, 0.41350492837078834), (18, 1, 0.2957935807472548), (19, 1, 0.41622134561309376), (20, 1, 0.33501423898700433), (21, 1, 0.22238560681976738), (22, 1, 0.9751128636565858), (23, 1, 0.82818994228554), (24, 1, 0.14593480135302295), (25, 1, 0.5547531122820768), (26, 1, 0.8376134150329007), (27, 1, 0.9115351599129298), (28, 1, 0.9096355171438804), (29, 1, 0.8816529121928189), (30, 1, 0.2949973427619702), (31, 1, 0.7382497646690237), (32, 1, 0.017530141980553027), (33, 1, 0.6959953554815153), (34, 1, 0.9445971696678205), (35, 1, 0.9428506768904872), (36, 1, 0.5899787919508789), (37, 1, 0.1525852957056535), (38, 1, 0.5852611953947348), (39, 1, 0.5355782475981841), (40, 1, 0.12001658037722174), (41, 1, 0.2014445296706645), (42, 1, 0.31463009809640674), (43, 1, 0.2977327015153489), (44, 1, 0.43220743624923674), (45, 1, 0.9697958993567276), (46, 1, 0.9876667081159908), (47, 1, 0.12120196234894298), (48, 1, 0.2993071310352383), (49, 1, 0.9675013966782426)]",12,5,9.0
"[(0, 1, 0.9049062150823318), (1, 1, 0.13902589046280334), (2, 1, 0.00999175986569345), (3, 1, 0.04613240514411199), (4, 1, 0.36488821274490857), (5, 1, 0.8254787230180705), (6, 1, 0.6500051993695973), (7, 1, 0.568206835912093), (8, 1, 0.12382405120353845), (9, 1, 0.1936519256914888), (10, 1, 0.9737052211978371), (11, 1, 0.2261054693096769), (12, 1, 0.6081027527116956), (13, 1, 0.9996412714763236), (14, 1, 0.5059867491676262), (15, 1, 0.7643367385002695), (16, 1, 0.6576970820858712), (17, 1, 0.8505284604121168), (18, 1, 0.0584650316097155), (19, 1, 0.7781976988692298), (20, 1, 0.9411470748264193), (21, 1, 0.11229240020026432), (22, 1, 0.29715974544604296), (23, 1, 0.9855902085861713), (24, 1, 0.26333909083191087), (25, 1, 0.03207692626969161), (26, 1, 0.10141760431401092), (27, 1, 0.18483143266460622), (28, 1, 0.8551120381706366), (29, 1, 0.08827167387822776), (30, 1, 0.4463048182857956), (31, 1, 0.36780504592513874), (32, 1, 0.002233897956130715), (33, 1, 0.45531987663322326), (34, 1, 0.18343782740902204), (35, 1, 0.31208263917958134), (36, 1, 0.46614637466875863), (37, 1, 0.38703445073018816), (38, 1, 0.07664808627134934), (39, 1, 0.7959971375543414), (40, 1, 0.6178441812587807), (41, 1, 0.7791972230350107), (42, 1, 0.6520462190740958), (43, 1, 0.9696098762511919), (44, 1, 0.4003607420333394), (45, 1, 0.784600671958183), (46, 1, 0.4280763830984451), (47, 1, 0.8351214648180291), (48, 1, 0.6290509681601253), (49, 1, 0.22080420590742644)]",14,5,18.0
"[(0, 1, 0.8752399400204443), (1, 1, 0.9649209226870136), (2, 1, 0.9440153433241572), (3, 1, 0.05483901907999034), (4, 1, 0.1192122745064883), (5, 1, 0.6016119701049395), (6, 1, 0.5260367893046365), (7, 1, 0.5080688909629513), (8, 1, 0.08837116956641278), (9, 1, 0.39507780705646556), (10, 1, 0.7945518020400759), (11, 1, 0.19568443923749046), (12, 1, 0.3491392316677012), (13, 1, 0.9101041814251377), (14, 1, 0.1661757783955068), (15, 1, 0.357575930473073), (16, 1, 0.9586211853129479), (17, 1, 0.3074302835334094), (18, 1, 0.22273204929606516), (19, 1, 0.9558973549476218), (20, 1, 0.4228219772280607), (21, 1, 0.6446028143952164), (22, 1, 0.70196033163366), (23, 1, 0.10183623380880957), (24, 1, 0.5914603421415445), (25, 1, 0.3484582970063974), (26, 1, 0.7790651761402475), (27, 1, 0.9146240158184153), (28, 1, 0.22643091295711193), (29, 1, 0.7063629825796498), (30, 1, 0.288002572459253), (31, 1, 0.5852806291212864), (32, 1, 0.7864267439390915), (33, 1, 0.0037396189809573155), (34, 1, 0.965410985365912), (35, 1, 0.7243492677023468), (36, 1, 0.4875925672051339), (37, 1, 0.20249712874151193), (38, 1, 0.558244225409548), (39, 1, 0.834791353924109), (40, 1, 0.7138704270210191), (41, 1, 0.22879885586213144), (42, 1, 0.8440791929389301), (43, 1, 0.8138517901794966), (44, 1, 0.6491718074412882), (45, 1, 0.4351405733721714), (46, 1, 0.25524733712508363), (47, 1, 0.9863306312760711), (48, 1, 0.2315912131216884), (49, 1, 0.5244291132590576)]",11,5,12.0
"[(0, 1, 0.45493886129633176), (1, 1, 0.30789134613953884), (2, 1, 0.8113921353264424), (3, 1, 0.2315269877831545), (4, 1, 0.3257712761073539), (5, 1, 0.469915921751195), (6, 1, 0.3737837109094819), (7, 1, 0.7854037186944454), (8, 1, 0.3004655903232438), (9, 1, 0.6907098667240589), (10, 1, 0.4671350989872862), (11, 1, 0.7919406859181715), (12, 1, 0.08812164501972397), (13, 1, 0.2525471420575196), (14, 1, 0.41077201764013305), (15, 1, 0.45681423217493844), (16, 1, 0.43882012102422363), (17, 1, 0.11785950968494574), (18, 1, 0.6591679201410441), (19, 1, 0.9086892073366937), (20, 1, 0.23152884911670912), (21, 1, 0.6263925409448895), (22, 1, 0.24688818977341198), (23, 1, 0.004636855418541197), (24, 1, 0.547938117430168), (25, 1, 0.2642400700822266), (26, 1, 0.9264872729065321), (27, 1, 0.5914380114387447), (28, 1, 0.18622006700745086), (29, 1, 0.4562097100735153), (30, 1, 0.37950558848453364), (31, 1, 0.15617941387458756), (32, 1, 0.23201175434771437), (33, 1, 0.7523139632491208), (34, 1, 0.7484773839769595), (35, 1, 0.32051846147155416), (36, 1, 0.9464603282514564), (37, 1, 0.708290744204299), (38, 1, 0.04482725210776617), (39, 1, 0.8540712858364171), (40, 1, 0.2983173711566506), (41, 1, 0.021587729269085254), (42, 1, 0.20107353311565423), (43, 1, 0.9597823597165469), (44, 1, 0.5108594088303337), (45, 1, 0.4416447327214674), (46, 1, 0.5189423930699104), (47, 1, 0.04945932036540701), (48, 1, 0.9560846988876462), (49, 1, 0.18997882130177768)]",5,0,12.0
"[(0, 1, 0.5767485846085182), (1, 1, 0.40613285493453066), (2, 1, 0.5116406006691979), (3, 1, 0.19480563238546889), (4, 1, 0.8275449837318857), (5, 1, 0.8773308416059185), (6, 1, 0.710529279572707), (7, 1, 0.15956647592473883), (8, 1, 0.0002474469491671183), (9, 1, 0.7187164651770609), (10, 1, 0.7425775989943154), (11, 1, 0.4879486366242519), (12, 1, 0.8392155003741294), (13, 1, 0.9856151341447807), (14, 1, 0.8196515495358841), (15, 1, 0.2773983173650594), (16, 1, 0.28967171199723385), (17, 1, 0.08966815419935525), (18, 1, 0.7176780841731694), (19, 1, 0.44713388793751063), (20, 1, 0.7024645069460257), (21, 1, 0.7676871652463685), (22, 1, 0.044197991912286905), (23, 1, 0.46510903853258245), (24, 1, 0.6259197480437717), (25, 1, 0.5759280991982235), (26, 1, 0.12834535722701546), (27, 1, 0.7684663361910954), (28, 1, 0.3770777387430797), (29, 1, 0.7537209303666819), (30, 1, 0.8416540230465733), (31, 1, 0.09152805507145467), (32, 1, 0.4528276032539418), (33, 1, 0.6189995080268215), (34, 1, 0.5990201583269008), (35, 1, 0.24399305309844765), (36, 1, 0.8170529837680738), (37, 1, 0.7711590358432977), (38, 1, 0.2671768774554719), (39, 1, 0.13445116377132194), (40, 1, 0.5479698840936112), (41, 1, 0.07682838351374977), (42, 1, 0.36083560437988627), (43, 1, 0.47976757862992914), (44, 1, 0.6149211374705212), (45, 1, 0.5681335732112436), (46, 1, 0.8545391124075721), (47, 1, 0.7859441008115934), (48, 1, 0.07812713053540044), (49, 1, 0.11396045632523921)]",4,0,8.0
"[(0, 1, 0.46175374046426376), (1, 1, 0.663125834933517), (2, 1, 0.4853219361411376), (3, 1, 0.9914094656789038), (4, 1, 0.5152575712024294), (5, 1, 0.7280921546594085), (6, 1, 0.7208092312547106), (7, 1, 0.35381261059612135), (8, 1, 0.856548790487044), (9, 1, 0.9048123368598985), (10, 1, 0.15087126027535558), (11, 1, 0.36334981089685103), (12, 1, 0.5637272585743929), (13, 1, 0.419813651307793), (14, 1, 0.36369237067175575), (15, 1, 0.11692620870759862), (16, 1, 0.21698973445644543), (17, 1, 0.02875103145681468), (18, 1, 0.3006505530814053), (19, 1, 0.6398110515759295), (20, 1, 0.20875066603768533), (21, 1, 0.79428531720181), (22, 1, 0.46633083746250703), (23, 1, 0.49880144299797313), (24, 1, 0.15508364428457133), (25, 1, 0.8741630899595346), (26, 1, 0.5690445083794567), (27, 1, 0.438536333733782), (28, 1, 0.3380817048606244), (29, 1, 0.9609405895892629), (30, 1, 0.10229483052686572), (31, 1, 0.3051732503236254), (32, 1, 0.9950298102030976), (33, 1, 0.8230241880830595), (34, 1, 0.8692951286626648), (35, 1, 0.2465706773612617), (36, 1, 0.09407559177772251), (37, 1, 0.18992716051850222), (38, 1, 0.9117776834683837), (39, 1, 0.3355103323780577), (40, 1, 0.1377367466111764), (41, 1, 0.4167470217178979), (42, 1, 0.6769449441467199), (43, 1, 0.9175288961612701), (44, 1, 0.1533797991581165), (45, 1, 0.6461095134315181), (46, 1, 0.8493486802487021), (47, 1, 0.4012232404468249), (48, 1, 0.8184304633058016), (49, 1, 0.9487176140308636)]",3,5,13.0
"[(0, 1, 0.029930868293212454), (1, 1, 0.4241094082738871), (2, 1, 0.46150724502815865), (3, 1, 0.39817598977456514), (4, 1, 0.693835963537006), (5, 1, 0.41455015220972047), (6, 1, 0.8268020343053496), (7, 1, 0.4793516508798916), (8, 1, 0.5771172901537539), (9, 1, 0.15236087917502228), (10, 1, 0.24126928492179867), (11, 1, 0.9012629968067595), (12, 1, 0.3666887523124229), (13, 1, 0.5387025461839267), (14, 1, 0.6189150866758668), (15, 1, 0.9352658759404435), (16, 1, 0.5838109395946965), (17, 1, 0.028808817037275336), (18, 1, 0.40033253405305436), (19, 1, 0.20346437402113393), (20, 1, 0.43379435670134003), (21, 1, 0.8142659534302918), (22, 1, 0.21259855204469635), (23, 1, 0.06970658308094246), (24, 1, 0.25102757526865327), (25, 1, 0.243550947117966), (26, 1, 0.7514066160237759), (27, 1, 0.22301632338416644), (28, 1, 0.8366288097482109), (29, 1, 0.16532652178857443), (30, 1, 0.9286657236965221), (31, 1, 0.9231228180652752), (32, 1, 0.7343348934471075), (33, 1, 0.3710900672359133), (34, 1, 0.44652072233235773), (35, 1, 0.12678119939589738), (36, 1, 0.2807150818007159), (37, 1, 0.309977191813273), (38, 1, 0.16278608278119489), (39, 1, 0.09155055457639416), (40, 1, 0.5820256573337472), (41, 1, 0.6387723797841394), (42, 1, 0.07491749908661782), (43, 1, 0.9668011317805011), (44, 1, 0.9642200455485971), (45, 1, 0.9674365721866575), (46, 1, 0.5349298776834484), (47, 1, 0.49972379209771267), (48, 1, 0.08375087597082798), (49, 1, 0.34882676185037287)]",9,0,8.0
"[(0, 1, 0.29404983523793726), (1, 1, 0.7208135174469898), (2, 1, 0.06205095146875339), (3, 1, 0.1591046061931234), (4, 1, 0.7758584347339921), (5, 1, 0.898140962267805), (6, 1, 0.16294042721711044), (7, 1, 0.11627558514265934), (8, 1, 0.9205942725516612), (9, 1, 0.7550167966498748), (10, 1, 0.9425137989280424), (11, 1, 0.5738826902462582), (12, 1, 0.5054702755028607), (13, 1, 0.06579005374254454), (14, 1, 0.4662688497636136), (15, 1, 0.9933009758110384), (16, 1, 0.984378168106868), (17, 1, 0.18420118081523762), (18, 1, 0.2428842930647891), (19, 1, 0.6250830103079087), (20, 1, 0.606524974219142), (21, 1, 0.32998860167498545), (22, 1, 0.7265700013380312), (23, 1, 0.2766284227132827), (24, 1, 0.7337658715761656), (25, 1, 0.9609501798684486), (26, 1, 0.12864809705219749), (27, 1, 0.14276788013543462), (28, 1, 0.5012815207026792), (29, 1, 0.39616127986356264), (30, 1, 0.340489068417403), (31, 1, 0.5010124215893322), (32, 1, 0.08757323207692613), (33, 1, 0.5973661439352257), (34, 1, 0.8217428049024706), (35, 1, 0.42807020837806664), (36, 1, 0.2408446351415633), (37, 1, 0.3929319034133023), (38, 1, 0.886926004436298), (39, 1, 0.33372369149822934), (40, 1, 0.8761008937330037), (41, 1, 0.43888629132060364), (42, 1, 0.2735303947728591), (43, 1, 0.5878569570009206), (44, 1, 0.0018114706207409403), (45, 1, 0.5625601008807554), (46, 1, 0.04796578855109357), (47, 1, 0.7842710358388554), (48, 1, 0.7728514053271682), (49, 1, 0.14421541865718834)]",7,5,8.0
"[(0, 1, 0.09824712350205833), (1, 1, 0.9435773886815743), (2, 1, 0.5606059342802413), (3, 1, 0.2242701226627598), (4, 1, 0.3827353416746858), (5, 1, 0.672459342944197), (6, 1, 0.09063186531693224), (7, 1, 0.00904624640612095), (8, 1, 0.7121341161316852), (9, 1, 0.9946591290603412), (10, 1, 0.9858568385598812), (11, 1, 0.050478045450543574), (12, 1, 0.8616296729182005), (13, 1, 0.4141781214356436), (14, 1, 0.4020833931310831), (15, 1, 0.22510814275821256), (16, 1, 0.6019869037973063), (17, 1, 0.48742472587824515), (18, 1, 0.6042187218692987), (19, 1, 0.4338903896135955), (20, 1, 0.14438289982777242), (21, 1, 0.6862613585117703), (22, 1, 0.22759789944782594), (23, 1, 0.8499114815024796), (24, 1, 0.8761704286049817), (25, 1, 0.05005152819666392), (26, 1, 0.16595159778801594), (27, 1, 0.27131154986801087), (28, 1, 0.7033140090406931), (29, 1, 0.25156368265660767), (30, 1, 0.2680251398416694), (31, 1, 0.2367683703793021), (32, 1, 0.5753528539434227), (33, 1, 0.345964706170791), (34, 1, 0.9022972519429194), (35, 1, 0.4228177295948279), (36, 1, 0.07863959145902066), (37, 1, 0.2507270870943923), (38, 1, 0.42741342317390396), (39, 1, 0.09770344437819256), (40, 1, 0.4423287649250316), (41, 1, 0.033520934631895094), (42, 1, 0.1816970428689525), (43, 1, 0.8004055330703638), (44, 1, 0.556257313516256), (45, 1, 0.28264595516277746), (46, 1, 0.5462498202389954), (47, 1, 0.29930264755051883), (48, 1, 0.959218914652294), (49, 1, 0.4186189914020704)]",7,5,11.0
"[(0, 1, 0.27992160596049076), (1, 1, 0.9057948840471752), (2, 1, 0.8068113296764143), (3, 1, 0.6133724846945003), (4, 1, 0.3425270581888401), (5, 1, 0.26134487096634473), (6, 1, 0.6270430242325299), (7, 1, 0.4475701459507846), (8, 1, 0.6066156984427762), (9, 1, 0.6053976797751779), (10, 1, 0.20962488548626623), (11, 1, 0.40016944893569373), (12, 1, 0.3890174799247029), (13, 1, 0.43065212405432873), (14, 1, 0.936118284612632), (15, 1, 0.9560399334975643), (16, 1, 0.25991063020683636), (17, 1, 0.6641374546938106), (18, 1, 0.9411033499424054), (19, 1, 0.9761064643402682), (20, 1, 0.2696057863954754), (21, 1, 0.40742452507555704), (22, 1, 0.33671558824825853), (23, 1, 0.5436152630433013), (24, 1, 0.4138471870309304), (25, 1, 0.24377448889590003), (26, 1, 0.11079672041018407), (27, 1, 0.029170826841277475), (28, 1, 0.521866755884012), (29, 1, 0.5330402346357349), (30, 1, 0.22586758886094127), (31, 1, 0.45970408053853873), (32, 1, 0.010420468776358494), (33, 1, 0.6689780768769743), (34, 1, 0.8391981910966992), (35, 1, 0.4470016003331405), (36, 1, 0.9161443961881683), (37, 1, 0.15590610989022624), (38, 1, 0.3583780589697233), (39, 1, 0.20287974166678646), (40, 1, 0.35195791371629803), (41, 1, 0.5247852749615859), (42, 1, 0.2566402502871695), (43, 1, 0.06001723427180716), (44, 1, 0.025645787887472737), (45, 1, 0.30613649168488544), (46, 1, 0.953657337014201), (47, 1, 0.19204396377046662), (48, 1, 0.4794362329172239), (49, 1, 0.6669547917425546)]",5,5,9.0
"[(0, 1, 0.40318116004109916), (1, 1, 0.6532380064451709), (2, 1, 0.5932964210435624), (3, 1, 0.10608012450780313), (4, 1, 0.36898840024447666), (5, 1, 0.8865131219953094), (6, 1, 0.23568154347655523), (7, 1, 0.38573692394670034), (8, 1, 0.6541440679998799), (9, 1, 0.016806877129776132), (10, 1, 0.9304180555905367), (11, 1, 0.13833905366848487), (12, 1, 0.34316345287618844), (13, 1, 0.36666105263305226), (14, 1, 0.6548582568875925), (15, 1, 0.0887638770318685), (16, 1, 0.24969726843177986), (17, 1, 0.5656618187304442), (18, 1, 0.7908809546514256), (19, 1, 0.09148283257580325), (20, 1, 0.972650589222433), (21, 1, 0.4301339179136294), (22, 1, 0.911257533777516), (23, 1, 0.35570532348110684), (24, 1, 0.8558005066792778), (25, 1, 0.6661887712360751), (26, 1, 0.3976365635608925), (27, 1, 0.8659493574921434), (28, 1, 0.07914204927686563), (29, 1, 0.7962608329764068), (30, 1, 0.00588929595655352), (31, 1, 0.3037829200737159), (32, 1, 0.040238423129628775), (33, 1, 0.44132352992467505), (34, 1, 0.9592494952270157), (35, 1, 0.6269812198216952), (36, 1, 0.824777778852308), (37, 1, 0.37262766369877975), (38, 1, 0.810888629607117), (39, 1, 0.7684164492120639), (40, 1, 0.32265756686883007), (41, 1, 0.6632130136533863), (42, 1, 0.7708349229752048), (43, 1, 0.18677685866155946), (44, 1, 0.5536680872870652), (45, 1, 0.7053792791052851), (46, 1, 0.0829123310138008), (47, 1, 0.11351368109774063), (48, 1, 0.5110663285232045), (49, 1, 0.8706827440380347)]",6,5,4.0
"[(0, 1, 0.508715482832611), (1, 1, 0.07846959787050245), (2, 1, 0.8014864008274903), (3, 1, 0.5695874468386917), (4, 1, 0.9443000387110251), (5, 1, 0.1980324562401119), (6, 1, 0.7434574639885975), (7, 1, 0.33129477692901), (8, 1, 0.8623504814763662), (9, 1, 0.21687450726959578), (10, 1, 0.09751447618131381), (11, 1, 0.08103078347275094), (12, 1, 0.7308277564438538), (13, 1, 0.728243244822297), (14, 1, 0.9751385595345703), (15, 1, 0.8764998753695636), (16, 1, 0.2286868331734313), (17, 1, 0.3876826902563486), (18, 1, 0.17020607596180837), (19, 1, 0.7904622004122661), (20, 1, 0.6707666732581236), (21, 1, 0.46786725088376757), (22, 1, 0.021831892851666646), (23, 1, 0.47262100144866426), (24, 1, 0.6153986420479101), (25, 1, 0.817480763999692), (26, 1, 0.6332602411899878), (27, 1, 0.6183185163627287), (28, 1, 0.38330912666281514), (29, 1, 0.5119137308039465), (30, 1, 0.8348623276387407), (31, 1, 0.22611109336656388), (32, 1, 0.5687971489662824), (33, 1, 0.7027844072089541), (34, 1, 0.3957735130772688), (35, 1, 0.7823648286943201), (36, 1, 0.6767179551334813), (37, 1, 0.927324962386632), (38, 1, 0.4242869117526673), (39, 1, 0.9632529879088088), (40, 1, 0.434614648668757), (41, 1, 0.4155222882853906), (42, 1, 0.22589573828887977), (43, 1, 0.18858845769680044), (44, 1, 0.42258565795250447), (45, 1, 0.7399413857639826), (46, 1, 0.4038451767047957), (47, 1, 0.7697842411050596), (48, 1, 0.8634002615543791), (49, 1, 0.6404742134442281)]",11,5,8.0
"[(0, 1, 0.07850424315400106), (1, 1, 0.3237717685948027), (2, 1, 0.5987795726396391), (3, 1, 0.11043446970154203), (4, 1, 0.7201713490232775), (5, 1, 0.3479356605464944), (6, 1, 0.8419663415123256), (7, 1, 0.6910744388982442), (8, 1, 0.5249776863783805), (9, 1, 0.7746923715670421), (10, 1, 0.8685869128675513), (11, 1, 0.31023728352953495), (12, 1, 0.8607017564262819), (13, 1, 0.856172293916844), (14, 1, 0.32829660675014616), (15, 1, 0.752222167233945), (16, 1, 0.37341307507241805), (17, 1, 0.9709319246913688), (18, 1, 0.23031509582484633), (19, 1, 0.36958273803167274), (20, 1, 0.6148390199775637), (21, 1, 0.7962873450677996), (22, 1, 0.2713302208170689), (23, 1, 0.6996603153252345), (24, 1, 0.4149567406531268), (25, 1, 0.7024500555056984), (26, 1, 0.4330069872020603), (27, 1, 0.7411218607279333), (28, 1, 0.7387553176772677), (29, 1, 0.49972021623275087), (30, 1, 0.3844627206095963), (31, 1, 0.6307885477112475), (32, 1, 0.8385022417821556), (33, 1, 0.7527782631992513), (34, 1, 0.0819365651525078), (35, 1, 0.0060100718847913015), (36, 1, 0.717900439498231), (37, 1, 0.9720674029447108), (38, 1, 0.6276349640145492), (39, 1, 0.10694460876337475), (40, 1, 0.44595420717808865), (41, 1, 0.22265444255937694), (42, 1, 0.9203912097620081), (43, 1, 0.2638113616433081), (44, 1, 0.38046307929314105), (45, 1, 0.5855124915024486), (46, 1, 0.3278803922822401), (47, 1, 0.8761156709613399), (48, 1, 0.36575214141793977), (49, 1, 0.1321435157928953)]",4,5,15.0
"[(0, 1, 0.9228913672851986), (1, 1, 0.3251032470822095), (2, 1, 0.4466856477054786), (3, 1, 0.8184324014593135), (4, 1, 0.5895117511444524), (5, 1, 0.6984490579237456), (6, 1, 0.830850849301423), (7, 1, 0.08067479815538392), (8, 1, 0.20989486192401774), (9, 1, 0.6127240417726322), (10, 1, 0.6535945151972784), (11, 1, 0.9229475001566301), (12, 1, 0.35204560475180646), (13, 1, 0.7263193237116848), (14, 1, 0.09543333245814467), (15, 1, 0.30088974208399866), (16, 1, 0.6090116776957287), (17, 1, 0.6294799961265971), (18, 1, 0.6021554012112612), (19, 1, 0.7126073690545977), (20, 1, 0.8083495408117815), (21, 1, 0.49924479055711), (22, 1, 0.13175033150143234), (23, 1, 0.35522259636355424), (24, 1, 0.6831120417726859), (25, 1, 0.3675359518458555), (26, 1, 0.09367909530003038), (27, 1, 0.07295046755345069), (28, 1, 0.3232940454038029), (29, 1, 0.891278266152128), (30, 1, 0.23053515674457103), (31, 1, 0.5108917655885252), (32, 1, 0.38564557309111713), (33, 1, 0.5431374073853273), (34, 1, 0.8937612709975074), (35, 1, 0.4801551759938937), (36, 1, 0.7807009817729815), (37, 1, 0.2022429777891478), (38, 1, 0.9274423324881947), (39, 1, 0.19945982051407807), (40, 1, 0.5934759217642067), (41, 1, 0.3914294954144073), (42, 1, 0.3644846828848849), (43, 1, 0.8554794608850372), (44, 1, 0.8028626865065287), (45, 1, 0.4208866382276363), (46, 1, 0.16191871562306548), (47, 1, 0.7607782501064788), (48, 1, 0.7092337719154393), (49, 1, 0.807132296770996)]",16,9,7.0
"[(0, 1, 0.020163513141609468), (1, 1, 0.1875696215317103), (2, 1, 0.17300989620267004), (3, 1, 0.14479047861167438), (4, 1, 0.892976663815994), (5, 1, 0.2571016720066208), (6, 1, 0.3453535799764472), (7, 1, 0.5164438984739623), (8, 1, 0.8071237072252799), (9, 1, 0.158724966061205), (10, 1, 0.6411947314823164), (11, 1, 0.9008062801418929), (12, 1, 0.6639571134299698), (13, 1, 0.007119760468496827), (14, 1, 0.6200236768903251), (15, 1, 0.2635538840631483), (16, 1, 0.5698138008347706), (17, 1, 0.3443287942945391), (18, 1, 0.6592657691447811), (19, 1, 0.3523479756887583), (20, 1, 0.8415500071469398), (21, 1, 0.15652005821297355), (22, 1, 0.15567585154226415), (23, 1, 0.867906430064915), (24, 1, 0.5130218167998676), (25, 1, 0.1986760297526664), (26, 1, 0.14272396248930241), (27, 1, 0.48644369939770926), (28, 1, 0.43039278783525103), (29, 1, 0.5758530742351605), (30, 1, 0.23649797930648342), (31, 1, 0.6658923303282215), (32, 1, 0.13788255344180456), (33, 1, 0.31191048188517423), (34, 1, 0.1325597327325464), (35, 1, 0.22564812405009782), (36, 1, 0.33000633586880135), (37, 1, 0.5806271308663354), (38, 1, 0.13195724668324205), (39, 1, 0.2672098364742648), (40, 1, 0.1673370717937953), (41, 1, 0.47949344001866523), (42, 1, 0.35085356919641586), (43, 1, 0.9212800758522985), (44, 1, 0.8202476923344444), (45, 1, 0.6563156165840853), (46, 1, 0.8287072743656498), (47, 1, 0.6295411318229488), (48, 1, 0.1940532521614321), (49, 1, 0.30095980166643643)]",2,0,0.0
"[(0, 1, 0.6869634351235661), (1, 1, 0.21038869154946915), (2, 1, 0.6634463367299467), (3, 1, 0.729249728468687), (4, 1, 0.49658373860178584), (5, 1, 0.2416297382565804), (6, 1, 0.807505850359275), (7, 1, 0.537220999561579), (8, 1, 0.004936655675980561), (9, 1, 0.32573261106367946), (10, 1, 0.6251412568190278), (11, 1, 0.8081744183703546), (12, 1, 0.06051359541318979), (13, 1, 0.9781522435833002), (14, 1, 0.38781269296937804), (15, 1, 0.09406613018831245), (16, 1, 0.006594095198576122), (17, 1, 0.9702002173363622), (18, 1, 0.2831601471631201), (19, 1, 0.659871643215736), (20, 1, 0.4147302548182187), (21, 1, 0.4545879669222683), (22, 1, 0.6345915914915079), (23, 1, 0.00402857017678615), (24, 1, 0.7702969604074512), (25, 1, 0.704535505488292), (26, 1, 0.9353946848758512), (27, 1, 0.6618477613592709), (28, 1, 0.3332185050309161), (29, 1, 0.3343751985408998), (30, 1, 0.4031306529396448), (31, 1, 0.6651021623022002), (32, 1, 0.5335113972516393), (33, 1, 0.4292084298851675), (34, 1, 0.16891139807858313), (35, 1, 0.5760016243982756), (36, 1, 0.8679204970316208), (37, 1, 0.5814635681928839), (38, 1, 0.8616927830570641), (39, 1, 0.6084730821861781), (40, 1, 0.22660935484804412), (41, 1, 0.8006499660609598), (42, 1, 0.8230011376031129), (43, 1, 0.46644171514548627), (44, 1, 0.9281513733482585), (45, 1, 0.1222029364450502), (46, 1, 0.8883373044663245), (47, 1, 0.9964125836383286), (48, 1, 0.2129744036102127), (49, 1, 0.8750299157274368)]",8,5,8.0
"[(0, 1, 0.8596585903720269), (1, 1, 0.10637645634568893), (2, 1, 0.09353024294795298), (3, 1, 0.5462346834106709), (4, 1, 0.04765633586491036), (5, 1, 0.2805680388542888), (6, 1, 0.6972713785182153), (7, 1, 0.10006941582050821), (8, 1, 0.6695633366216096), (9, 1, 0.3612686074416046), (10, 1, 0.9849366609033176), (11, 1, 0.5795286114663454), (12, 1, 0.5155797251204995), (13, 1, 0.5298997217684039), (14, 1, 0.62985342345907), (15, 1, 0.5912220879259988), (16, 1, 0.31180197839834556), (17, 1, 0.5151176118406071), (18, 1, 0.05295246164925638), (19, 1, 0.12155989561432312), (20, 1, 0.6839392874239102), (21, 1, 0.06752245152609904), (22, 1, 0.7794266751062825), (23, 1, 0.7866116114755276), (24, 1, 0.42709707569205735), (25, 1, 0.44653401461900777), (26, 1, 0.24649985992032686), (27, 1, 0.20743893083193787), (28, 1, 0.6360966578399755), (29, 1, 0.9473469938146701), (30, 1, 0.34953935630274635), (31, 1, 0.4216668837652813), (32, 1, 0.7021421754244827), (33, 1, 0.8589733265786363), (34, 1, 0.7563325258987761), (35, 1, 0.724991224135323), (36, 1, 0.14134293887713312), (37, 1, 0.834961975821757), (38, 1, 0.7635257636690235), (39, 1, 0.35538752396258666), (40, 1, 0.13260847082098515), (41, 1, 0.6347576936952289), (42, 1, 0.39862967237699853), (43, 1, 0.6540748576356274), (44, 1, 0.2408077122491381), (45, 1, 0.3719873377627788), (46, 1, 0.4312651890055613), (47, 1, 0.3704094044763895), (48, 1, 0.42915135159446116), (49, 1, 0.9157958540498204)]",6,5,8.0
